dataset_id,sample_fraction,chain,condition,model,repeat,fold
D001,1.0,PRIMARY,C0,logistic_regression,0,0
D001,1.0,PRIMARY,C0,logistic_regression,0,1
D001,1.0,PRIMARY,C0,logistic_regression,0,2
D001,1.0,PRIMARY,C0,logistic_regression,1,0
D001,1.0,PRIMARY,C0,logistic_regression,1,1
D001,1.0,PRIMARY,C0,logistic_regression,1,2
D001,1.0,PRIMARY,C3,logistic_regression,0,0
D001,1.0,PRIMARY,C3,logistic_regression,0,1
D001,1.0,PRIMARY,C3,logistic_regression,0,2
D001,1.0,PRIMARY,C3,logistic_regression,1,0
D001,1.0,PRIMARY,C3,logistic_regression,1,1
D001,1.0,PRIMARY,C3,logistic_regression,1,2
D001,1.0,PRIMARY,C4,logistic_regression,0,0
D001,1.0,PRIMARY,C4,logistic_regression,0,1
D001,1.0,PRIMARY,C4,logistic_regression,0,2
D001,1.0,PRIMARY,C4,logistic_regression,1,0
D001,1.0,PRIMARY,C4,logistic_regression,1,1
D001,1.0,PRIMARY,C4,logistic_regression,1,2
D001,1.0,PRIMARY,C5,logistic_regression,0,0
D001,1.0,PRIMARY,C5,logistic_regression,0,1
D001,1.0,PRIMARY,C5,logistic_regression,0,2
D001,1.0,PRIMARY,C5,logistic_regression,1,0
D001,1.0,PRIMARY,C5,logistic_regression,1,1
D001,1.0,PRIMARY,C5,logistic_regression,1,2
D001,1.0,PRIMARY,C6,logistic_regression,0,0
D001,1.0,PRIMARY,C6,logistic_regression,0,1
D001,1.0,PRIMARY,C6,logistic_regression,0,2
D001,1.0,PRIMARY,C6,logistic_regression,1,0
D001,1.0,PRIMARY,C6,logistic_regression,1,1
D001,1.0,PRIMARY,C6,logistic_regression,1,2
D001,1.0,PRIMARY,C2,logistic_regression,0,NON_NESTED
D001,1.0,PRIMARY,C2,logistic_regression,1,NON_NESTED
D001,1.0,PRIMARY,C1,logistic_regression,0,FIXED_80_20
D001,1.0,PRIMARY,C0,random_forest,0,0
D001,1.0,PRIMARY,C0,random_forest,0,1
D001,1.0,PRIMARY,C0,random_forest,0,2
D001,1.0,PRIMARY,C0,random_forest,1,0
D001,1.0,PRIMARY,C0,random_forest,1,1
D001,1.0,PRIMARY,C0,random_forest,1,2
D001,1.0,PRIMARY,C3,random_forest,0,0
D001,1.0,PRIMARY,C3,random_forest,0,1
D001,1.0,PRIMARY,C3,random_forest,0,2
D001,1.0,PRIMARY,C3,random_forest,1,0
D001,1.0,PRIMARY,C3,random_forest,1,1
D001,1.0,PRIMARY,C3,random_forest,1,2
D001,1.0,PRIMARY,C4,random_forest,0,0
D001,1.0,PRIMARY,C4,random_forest,0,1
D001,1.0,PRIMARY,C4,random_forest,0,2
D001,1.0,PRIMARY,C4,random_forest,1,0
D001,1.0,PRIMARY,C4,random_forest,1,1
D001,1.0,PRIMARY,C4,random_forest,1,2
D001,1.0,PRIMARY,C5,random_forest,0,0
D001,1.0,PRIMARY,C5,random_forest,0,1
D001,1.0,PRIMARY,C5,random_forest,0,2
D001,1.0,PRIMARY,C5,random_forest,1,0
D001,1.0,PRIMARY,C5,random_forest,1,1
D001,1.0,PRIMARY,C5,random_forest,1,2
D001,1.0,PRIMARY,C6,random_forest,0,0
D001,1.0,PRIMARY,C6,random_forest,0,1
D001,1.0,PRIMARY,C6,random_forest,0,2
D001,1.0,PRIMARY,C6,random_forest,1,0
