dataset_id,model,phase,condition,sample_fraction,chain,repeat,fold,run_id,completed_utc,manifest_sha256,summary_sha256,predictions_sha256,provenance_sha256,source_relative_path
D001,logistic_regression,sample_size,C0,0.5,0,1,2,D001__logistic_regression__sample_size__0p5__0__C0__1__2__c36f89a6020d1465,2026-09-16T05:44:52.068270+00:00,5ac5b21c8b270a9b1ff51fb55eda997ca28deae7eedc020d0422c145941b5f46,4c382e93fc81e0c7cb3475dc975fb0f8d1438e2a4c60a25e19e43836fbb854fb,d7ae679fa73ce1a872a59ac4492aafbaf6adbff1244654fcc704393878d28ca2,4944ccdd20022470166892a122e0153f0aff1e5105805ce557be78badea1c359,D001/logistic_regression/sample_size/fraction_0p5/chain_0/C0/repeat_01/fold_2/D001__logistic_regression__sample_size__0p5__0__C0__1__2__c36f89a6020d1465
D001,logistic_regression,sample_size,C0,0.5,0,1,0,D001__logistic_regression__sample_size__0p5__0__C0__1__0__9224d4db749be1a7,2026-09-16T05:44:50.107201+00:00,3d45477f4075702c300dee21495a3b810dd4cbd50ba2dbe88aca9d8524047577,028b0bd7f78548541134615ec3e30769eadc7be452601f25701ed9d23cf545d0,72d390dbabd978cc540d95c815f2fd0e41f4305444829b20788f4fdee6d1f5e3,ed24feb8a722bae7213066eca74bc4e5c6991bd0372240114f66fb143872da45,D001/logistic_regression/sample_size/fraction_0p5/chain_0/C0/repeat_01/fold_0/D001__logistic_regression__sample_size__0p5__0__C0__1__0__9224d4db749be1a7
D001,logistic_regression,sample_size,C0,0.5,0,1,1,D001__logistic_regression__sample_size__0p5__0__C0__1__1__b0352537a0467355,2026-09-16T05:44:51.156056+00:00,63c839f06dd15aef1d87066c8f359d7cb05228bf9ec6957fae8e6b1e7db6cf06,e9f965ae09d1fb45d0a1e11da6374745b441b1a0e990e7cadcd7a1db11f62a63,c219fd6ddee233a4c19693a53603bfbc0b30115ba7e6b004f9048ffc3b1d00c2,d641c952affc9452c4cb68b2aaef5ef481c790467fd0b4dd783a2e7ef2be29bd,D001/logistic_regression/sample_size/fraction_0p5/chain_0/C0/repeat_01/fold_1/D001__logistic_regression__sample_size__0p5__0__C0__1__1__b0352537a0467355
D001,logistic_regression,sample_size,C0,0.5,0,0,2,D001__logistic_regression__sample_size__0p5__0__C0__0__2__19be0231d009907f,2026-09-16T05:44:48.828181+00:00,1f09186a723f1252481a8fda5d59c9b891710b64429493cce144310ad9b7a396,02403c383eec748e71ea9163a2edaaa0d10eb49ed56b437aa4ae9df95c030a17,679de47467ba705f12c40b746a203aa6862d0907bbfaaa8b5a25909077c00e52,4e7c6f68f67735eb8a8c279a25b8e3e9c3dd14471fd1981bb6f5d922af66d2c9,D001/logistic_regression/sample_size/fraction_0p5/chain_0/C0/repeat_00/fold_2/D001__logistic_regression__sample_size__0p5__0__C0__0__2__19be0231d009907f
D001,logistic_regression,sample_size,C0,0.5,0,0,0,D001__logistic_regression__sample_size__0p5__0__C0__0__0__d1370549c7168eae,2026-09-16T05:44:46.348617+00:00,46cdf1221a47043215652931a55026531bf704ccfffd1f6f0f4fca6a4a6999d4,b94fd4afd27053051f1d782672857629142742f13c6b80200be0886dd1752567,e6540630d64f16c8714794b7e1615b77da84ee921bec93e893755135992366c5,614cf43e70fbd5b60a2d5f96e8c02cb347ceb27e221644bd0c52f6e5baf0ed8d,D001/logistic_regression/sample_size/fraction_0p5/chain_0/C0/repeat_00/fold_0/D001__logistic_regression__sample_size__0p5__0__C0__0__0__d1370549c7168eae
D001,logistic_regression,sample_size,C0,0.5,0,0,1,D001__logistic_regression__sample_size__0p5__0__C0__0__1__d942ec4a2594aa53,2026-09-16T05:44:47.617922+00:00,413af94c08b4d06793f76b2f5175fd50eabb2829d137f292407f0c25b88d9188,7aa58cec864b9245569e03f4accd11c7d7557bb20adbbbb1003ad2306ba4998e,940f31c749483dcb104d4f6d9d166bbc88bff1055ffa0896e51e3a9a7169bcf8,cfea4f8a8b30141c36042f4bdf71ee46b9e759de60d892a9005fe9e324277b44,D001/logistic_regression/sample_size/fraction_0p5/chain_0/C0/repeat_00/fold_1/D001__logistic_regression__sample_size__0p5__0__C0__0__1__d942ec4a2594aa53
D001,logistic_regression,sample_size,C3,0.5,0,1,2,D001__logistic_regression__sample_size__0p5__0__C3__1__2__179c4a96bd9e52e0,2026-09-16T05:44:57.737084+00:00,0d0c5cebff337c1a85d5653fc0e4534d59a667349e80db2cd97da397daa66f67,b335f7204adf454876820049e05cea930c2b80fea3f8139074093be2e904e51e,3d13297a7fa8bfdedaad45501cbfed4bb529c71cc775cbb04b46dd486a8dfaa3,184253e68d8944014b0ab541085eda8c6505c5c051fe2b8baf5da28f5d59a6bb,D001/logistic_regression/sample_size/fraction_0p5/chain_0/C3/repeat_01/fold_2/D001__logistic_regression__sample_size__0p5__0__C3__1__2__179c4a96bd9e52e0
D001,logistic_regression,sample_size,C3,0.5,0,1,0,D001__logistic_regression__sample_size__0p5__0__C3__1__0__cee4c21daa97b9d1,2026-09-16T05:44:56.512745+00:00,178c6bd1443d7334046c4a06bec44d6f9bb61527cbf63b1785fafe45fe06cd72,f444e2136f89f92ef8ba38b50b2e7ecfeb2ce09dc01f467b4db74ca1d0e45b72,c0246f272cfbcd8664c90cdd48a7a3cdba5606e1561c55ac7a23349109f3e32b,750435e985a5d002a51b9329fdea1b82ffaaab6d15bae6abead6f284e53c9152,D001/logistic_regression/sample_size/fraction_0p5/chain_0/C3/repeat_01/fold_0/D001__logistic_regression__sample_size__0p5__0__C3__1__0__cee4c21daa97b9d1
D001,logistic_regression,sample_size,C3,0.5,0,1,1,D001__logistic_regression__sample_size__0p5__0__C3__1__1__14a612526ed8426e,2026-09-16T05:44:57.139096+00:00,b8b0eb25476de169368c4dd5b3c4bf5a993dc24edc8945c6ffd7e39bd5d80715,8e6ef5e91bd5dbb853aa95473fd2a2f34f3ff8d788ac4b9d02035ae21e9fdd6b,731facf1514539e79171d837e57900edebc007bbc72d4b429f0652e3ab46ce08,b33bb164568b9033af1e4e8c10ae1179ce7bfdc9322b8ce18b1c3a8ba0132d5a,D001/logistic_regression/sample_size/fraction_0p5/chain_0/C3/repeat_01/fold_1/D001__logistic_regression__sample_size__0p5__0__C3__1__1__14a612526ed8426e
D001,logistic_regression,sample_size,C3,0.5,0,0,2,D001__logistic_regression__sample_size__0p5__0__C3__0__2__ab031115398be285,2026-09-16T05:44:55.899227+00:00,bdad1b4bbfb80908248c517de06c7719675cd352538a7a45b9be3a25fde4ac16,e899bd132000d5c465cfe17030dbada08a083457c1f4bf95dc15d8e44e642b2d,0568266b277b7a871423120c1ddad6fb5eb21b170605f80333c85efa198aa8d9,139644cd652222ce9ba77c34273d40bc3bc72023c7ead404167077294d337281,D001/logistic_regression/sample_size/fraction_0p5/chain_0/C3/repeat_00/fold_2/D001__logistic_regression__sample_size__0p5__0__C3__0__2__ab031115398be285
