dataset_id,dataset_name,condition,delta_AUROC,delta_AUPRC,delta_balanced_accuracy,delta_F1,delta_Brier,delta_calibration_intercept,delta_calibration_slope,models
D001,Breast Cancer Wisconsin Diagnostic,C2,-0.0009361374225288118,-0.0011341130325938826,0.0019817059510401913,0.002052503176525463,0.006230822765405468,-0.031432673415899996,0.29341465503656994,3
D001,Breast Cancer Wisconsin Diagnostic,C3,0.00038148428007559837,4.1090587375114396e-05,-0.0019547981948984847,-0.003266172818756815,0.0009176740601787731,0.06353598376534704,0.05713901199737156,3
D001,Breast Cancer Wisconsin Diagnostic,C4,-0.0037660579111795656,-0.006895747797809104,-0.022389402930421094,-0.029984207497921706,0.012362231922603792,-0.18595268096947884,-0.574959302179827,3
D001,Breast Cancer Wisconsin Diagnostic,C5,0.00390377361566722,0.003903256709982409,0.006009113534475974,0.006941204145998488,-0.0037643934211827323,-0.995161945213726,0.08844292335457464,3
D002,Chronic Kidney Disease,C2,0.00015328492738767943,8.746945068927037e-05,0.0065793096262614465,0.005698348894000079,-0.002675269777993715,-5.297814254967277,-9.325602065379245,3
D002,Chronic Kidney Disease,C3,-0.00010774534329371921,-4.277094903049061e-05,-0.004394566813755385,-0.0033891982632287356,0.0031338022299730243,4.4101666790060206,3.169918751553125,3
D002,Chronic Kidney Disease,C4,-0.0003814126093850678,-0.00020192139900424935,0.004969710016428874,0.002973150289846571,0.004515922043881301,34.111001888859505,22.091669460989127,3
D002,Chronic Kidney Disease,C5,0.0002908749494136738,0.00014914606471568467,0.004749356103224245,0.0033471033378096315,-0.0001573121013482585,15.392134052927439,2.2545686977304342,3
D003,ILPD Indian Liver Patient,C2,0.00388366490424652,-0.003574518605950372,0.029934635092052186,0.0065739901498885756,-0.007092482982634531,-0.009213188368027722,0.09009670356809057,3
D003,ILPD Indian Liver Patient,C3,0.0046020111392215774,0.002665745555654279,0.009637992308272817,0.006308702969598364,-0.007670417725899538,0.007160729014386247,0.06591040558917337,3
D003,ILPD Indian Liver Patient,C4,0.005396086198640737,-0.0002978276906735096,0.005384154418195249,-0.0030730465741890165,-0.0037704540698844193,0.11699353622582276,0.3076958526618519,3
D003,ILPD Indian Liver Patient,C5,0.09739075927313934,0.04534314146352462,0.05294120869638793,-0.0067520197828617,-0.01112666072674437,0.6922907449237329,0.5563027645883039,3
D005,Heart Disease Cleveland,C2,0.011346918699724004,0.012658229921111838,0.031031408386212617,0.04015078445194068,-0.01276094452429527,0.06041046388775471,-0.24156204318159138,3
D005,Heart Disease Cleveland,C3,-0.0012283640450481508,-0.0017739030607305528,0.0022803474776104116,0.003671385143458439,0.0018379074026655395,0.00880365494766537,0.09210170090891527,3
D005,Heart Disease Cleveland,C4,-0.001062530130664337,0.00029683908811746945,0.011277863531083843,0.013854026005974887,-0.0005756125738411259,-0.01704586995875093,0.23957663337880677,3
D005,Heart Disease Cleveland,C5,0.007500174822841858,0.0035740980810659018,0.012198831785838879,0.016397017112008767,-0.0049679395664868715,-0.049067273082209685,0.06883585462353843,3
D006,SPECT Heart,C2,0.028081331765127098,0.010765975227203831,0.07390598480043846,0.005353666462195743,-0.0074349846480127975,-0.17008393882905512,0.2200390872318304,3
