model,model_label,condition,datasets,median_delta_AUROC,ci95_low,ci95_high,rank_biserial_effect_size
logistic_regression,Logistic regression,C2,14,0.0012418514008792347,-0.0006582342425628385,0.0068597841566319095,0.3904761904761905
logistic_regression,Logistic regression,C3,14,-0.0006704335562576769,-0.001248144681736063,0.0030002843515054556,0.06666666666666667
logistic_regression,Logistic regression,C4,14,0.00037734009129747337,-0.007085996616764456,0.004905608742007517,0.02857142857142857
logistic_regression,Logistic regression,C5,14,0.012254357029220897,0.004329476456994996,0.032831134662078654,1.0
random_forest,Random forest,C2,14,0.002800201481845732,-0.0006034012962905511,0.007382447475208775,0.2761904761904762
random_forest,Random forest,C3,14,-0.0023022206621557406,-0.005033689136254127,-0.0004181385587534491,-0.6761904761904762
random_forest,Random forest,C4,14,-0.00437054492047162,-0.02810179157810877,-0.0007234187360549149,-0.580952380952381
random_forest,Random forest,C5,14,0.01999389678047986,0.011323714010135655,0.10667622646744906,1.0
gradient_boosted_trees,Gradient-boosted trees,C2,14,0.007537888846051943,0.003674050468715495,0.010716711998949635,0.8857142857142857
gradient_boosted_trees,Gradient-boosted trees,C3,14,-0.001658886725161346,-0.00699282206384344,0.0012273579110705368,-0.3142857142857143
gradient_boosted_trees,Gradient-boosted trees,C4,14,-0.0014174077020746578,-0.007994447025644669,0.0065979807165384985,-0.12380952380952381
gradient_boosted_trees,Gradient-boosted trees,C5,14,0.036602764372890395,0.009893763044522497,0.11876060483863488,0.9238095238095239
