"condition","estimate","standard_error","ci95_low","ci95_high","hypothesis","moderator"
"C2",-0.00762549527088852,0.00492044299375722,-0.0172695635386527,0.00201857299687563,"H3","z_log_sample_size"
"C3",-0.00207679301142524,0.00492044299375722,-0.0117208612791894,0.00756727525633891,"H3","z_log_sample_size"
"C4",-0.00966341141822827,0.00492044299375722,-0.0193074796859924,-1.93431504641271e-05,"H3","z_log_sample_size"
"C5",-0.00176536257793366,0.00492044299375722,-0.0114094308456978,0.00787870568983049,"H3","z_log_sample_size"
"C2",-0.00216022638830054,0.0055949767404095,-0.0131263807995032,0.00880592802290209,"H4","z_log_feature_to_sample_ratio"
"C3",-4.70599366598039e-05,0.0055949767404095,-0.0110132143478624,0.0109190944745428,"H4","z_log_feature_to_sample_ratio"
"C4",-1.25814942029236e-05,0.0055949767404095,-0.0109787359054056,0.0109535729169997,"H4","z_log_feature_to_sample_ratio"
"C5",-0.009755192318394,0.0055949767404095,-0.0207213467295966,0.00121096209280863,"H4","z_log_feature_to_sample_ratio"
"C2",-0.0046392989047263,0.0049293219000399,-0.0143007698288045,0.0050221720193519,"H5","z_minority_prevalence"
"C3",0.000465192922293547,0.0049293219000399,-0.00919627800178465,0.0101266638463717,"H5","z_minority_prevalence"
"C4",-0.00313140663016289,0.0049293219000399,-0.0127928775542411,0.00653006429391531,"H5","z_minority_prevalence"
"C5",-0.0516131465525728,0.0049293219000399,-0.061274617476651,-0.0419516756284946,"H5","z_minority_prevalence"
