condition,sample_fraction,independent_datasets,median_delta_AUROC,ci95_low,ci95_high
C2,0.5,7,0.00222884637168,-0.004667814207368933,0.009990584120325066
C2,0.75,13,0.005321672475467322,-0.0001999992723459,0.008741272378313467
C2,1.0,14,0.0042571592114256495,0.00015328492738766458,0.010192366671983684
C3,0.5,7,8.467858662380009e-05,-0.0019022017072726001,0.0027015961685235997
C3,0.75,13,-0.0009787354246117333,-0.0015484533957578668,0.002664249887771633
C3,1.0,14,-0.0008853982333427166,-0.003591491959475583,0.0001368694683909358
C4,0.5,7,-0.0009937238143015333,-0.005487733536858934,-0.00013517713929833334
C4,0.75,13,0.00031140010672010024,-0.0034317376507176332,0.010775822705997066
C4,1.0,14,-0.00018649212228658612,-0.006441490397083017,0.002015908972436333
C5,0.5,7,0.012726363976236665,0.00026409168563209997,0.09416283635598151
C5,0.75,13,0.02491709071346197,0.013784540710051266,0.07991683508489503
C5,1.0,14,0.022572046440147618,0.007500174822841834,0.0836815706352077
