dataset_id,dataset_name,model,condition,delta_AUROC,sample_fraction,analysis_rows,analysis_predictors,minority_count,missing_predictor_cells,rows_in_analysis_frame,display_index,minority_prevalence,missingness_rate,feature_to_sample_ratio,log_sample_size,log_feature_to_sample_ratio,z_log_sample_size,z_log_feature_to_sample_ratio,z_minority_prevalence,z_missingness_rate
D001,Breast Cancer Wisconsin Diagnostic,gradient_boosted_trees,C2,0.0100826502525802,0.5,569,30,212,0,285.0,Dataset 01,0.37258347978910367,0.0,0.10526315789473684,5.652489180268651,-2.2512917986064953,-0.8594760834891552,1.3153786537458487,0.5046721465823615,-0.5956564979686924
D001,Breast Cancer Wisconsin Diagnostic,gradient_boosted_trees,C2,-0.0023073703338806,0.75,569,30,212,0,427.0,Dataset 01,0.37258347978910367,0.0,0.0702576112412178,6.056784013228625,-2.6555866315664693,-0.11897872289907849,0.8353692434843463,0.5046721465823615,-0.5956564979686924
D001,Breast Cancer Wisconsin Diagnostic,gradient_boosted_trees,C2,-0.0022631784496529,1.0,569,30,212,0,569.0,Dataset 01,0.37258347978910367,0.0,0.05272407732864675,6.343880434126331,-2.9426830524641754,0.4068606511862596,0.4945066539865988,0.5046721465823615,-0.5956564979686924
D001,Breast Cancer Wisconsin Diagnostic,gradient_boosted_trees,C3,0.0037159889068831,0.5,569,30,212,0,285.0,Dataset 01,0.37258347978910367,0.0,0.10526315789473684,5.652489180268651,-2.2512917986064953,-0.8594760834891552,1.3153786537458487,0.5046721465823615,-0.5956564979686924
D001,Breast Cancer Wisconsin Diagnostic,gradient_boosted_trees,C3,-0.0042672291463305,0.75,569,30,212,0,427.0,Dataset 01,0.37258347978910367,0.0,0.0702576112412178,6.056784013228625,-2.6555866315664693,-0.11897872289907849,0.8353692434843463,0.5046721465823615,-0.5956564979686924
D001,Breast Cancer Wisconsin Diagnostic,gradient_boosted_trees,C3,0.0009379762808919,1.0,569,30,212,0,569.0,Dataset 01,0.37258347978910367,0.0,0.05272407732864675,6.343880434126331,-2.9426830524641754,0.4068606511862596,0.4945066539865988,0.5046721465823615,-0.5956564979686924
D001,Breast Cancer Wisconsin Diagnostic,gradient_boosted_trees,C4,0.004241703426057,0.5,569,30,212,0,285.0,Dataset 01,0.37258347978910367,0.0,0.10526315789473684,5.652489180268651,-2.2512917986064953,-0.8594760834891552,1.3153786537458487,0.5046721465823615,-0.5956564979686924
D001,Breast Cancer Wisconsin Diagnostic,gradient_boosted_trees,C4,-0.0057881215574117,0.75,569,30,212,0,427.0,Dataset 01,0.37258347978910367,0.0,0.0702576112412178,6.056784013228625,-2.6555866315664693,-0.11897872289907849,0.8353692434843463,0.5046721465823615,-0.5956564979686924
D001,Breast Cancer Wisconsin Diagnostic,gradient_boosted_trees,C4,-0.004249222214828,1.0,569,30,212,0,569.0,Dataset 01,0.37258347978910367,0.0,0.05272407732864675,6.343880434126331,-2.9426830524641754,0.4068606511862596,0.4945066539865988,0.5046721465823615,-0.5956564979686924
D001,Breast Cancer Wisconsin Diagnostic,gradient_boosted_trees,C5,0.0217070839591553,0.5,569,30,212,0,285.0,Dataset 01,0.37258347978910367,0.0,0.10526315789473684,5.652489180268651,-2.2512917986064953,-0.8594760834891552,1.3153786537458487,0.5046721465823615,-0.5956564979686924
D001,Breast Cancer Wisconsin Diagnostic,gradient_boosted_trees,C5,0.0038144649122333,0.75,569,30,212,0,427.0,Dataset 01,0.37258347978910367,0.0,0.0702576112412178,6.056784013228625,-2.6555866315664693,-0.11897872289907849,0.8353692434843463,0.5046721465823615,-0.5956564979686924
