dataset_id,display_index,dataset_name,condition,sample_fraction,delta_AUROC
D001,Dataset 01,Breast Cancer Wisconsin Diagnostic,C2,0.5,0.0051099376856188474
D001,Dataset 01,Breast Cancer Wisconsin Diagnostic,C2,0.75,-0.0008340000907383332
D001,Dataset 01,Breast Cancer Wisconsin Diagnostic,C2,1.0,-0.0009361374225287643
D001,Dataset 01,Breast Cancer Wisconsin Diagnostic,C3,0.5,0.0027015961685235997
D001,Dataset 01,Breast Cancer Wisconsin Diagnostic,C3,0.75,-0.0009787354246117333
D001,Dataset 01,Breast Cancer Wisconsin Diagnostic,C3,1.0,0.0003814842800755667
D001,Dataset 01,Breast Cancer Wisconsin Diagnostic,C4,0.5,-0.000878760540862133
D001,Dataset 01,Breast Cancer Wisconsin Diagnostic,C4,0.75,-0.004090211710367
D001,Dataset 01,Breast Cancer Wisconsin Diagnostic,C4,1.0,-0.0037660579111795
D001,Dataset 01,Breast Cancer Wisconsin Diagnostic,C5,0.5,0.012726363976236665
D001,Dataset 01,Breast Cancer Wisconsin Diagnostic,C5,0.75,0.0037976607696778666
D001,Dataset 01,Breast Cancer Wisconsin Diagnostic,C5,1.0,0.0039037736156671663
D002,Dataset 02,Chronic Kidney Disease,C2,0.5,-0.0004214712826076334
D002,Dataset 02,Chronic Kidney Disease,C2,0.75,-0.0001999992723459
D002,Dataset 02,Chronic Kidney Disease,C2,1.0,0.00015328492738766458
D002,Dataset 02,Chronic Kidney Disease,C3,0.5,-0.0006393227689165
D002,Dataset 02,Chronic Kidney Disease,C3,0.75,0.0004339385723523333
D002,Dataset 02,Chronic Kidney Disease,C3,1.0,-0.00010774534329369507
D002,Dataset 02,Chronic Kidney Disease,C4,0.5,-0.00013517713929833334
D002,Dataset 02,Chronic Kidney Disease,C4,0.75,-0.0004884193763868333
D002,Dataset 02,Chronic Kidney Disease,C4,1.0,-0.0003814126093850385
D002,Dataset 02,Chronic Kidney Disease,C5,0.5,0.00026409168563209997
D002,Dataset 02,Chronic Kidney Disease,C5,0.75,0.00017801769108846669
D002,Dataset 02,Chronic Kidney Disease,C5,1.0,0.00029087494941363733
D003,Dataset 03,ILPD Indian Liver Patient,C2,0.5,0.024665247683559866
D003,Dataset 03,ILPD Indian Liver Patient,C2,0.75,0.0045166973526893995
D003,Dataset 03,ILPD Indian Liver Patient,C2,1.0,0.0038836649042464995
D003,Dataset 03,ILPD Indian Liver Patient,C3,0.5,0.0178771894180621
D003,Dataset 03,ILPD Indian Liver Patient,C3,0.75,-0.0111898268884575
D003,Dataset 03,ILPD Indian Liver Patient,C3,1.0,0.004602011139221567
D003,Dataset 03,ILPD Indian Liver Patient,C4,0.5,0.0340704329762481
D003,Dataset 03,ILPD Indian Liver Patient,C4,0.75,0.003879953183846633
D003,Dataset 03,ILPD Indian Liver Patient,C4,1.0,0.0053960861986407
D003,Dataset 03,ILPD Indian Liver Patient,C5,0.5,0.09416283635598151
D003,Dataset 03,ILPD Indian Liver Patient,C5,0.75,0.07991683508489503
D003,Dataset 03,ILPD Indian Liver Patient,C5,1.0,0.0973907592731393
D011,Dataset 08,Mammographic Mass,C2,0.5,0.00222884637168
D011,Dataset 08,Mammographic Mass,C2,0.75,-0.004013256133674466
D011,Dataset 08,Mammographic Mass,C2,1.0,-0.004753311346286133
D011,Dataset 08,Mammographic Mass,C3,0.5,8.467858662380009e-05
D011,Dataset 08,Mammographic Mass,C3,0.75,-0.0072892786630852
D011,Dataset 08,Mammographic Mass,C3,1.0,-0.0031938161982232997
D011,Dataset 08,Mammographic Mass,C4,0.5,-0.005487733536858934
D011,Dataset 08,Mammographic Mass,C4,0.75,-0.01934900486397233
D011,Dataset 08,Mammographic Mass,C4,1.0,-0.027964904946397296
D011,Dataset 08,Mammographic Mass,C5,0.5,0.0065183462024444
