dataset_id,condition,slope_per_log_fraction
D001,C2,-0.009112310463045933
D001,C3,-0.003723274984809981
D001,C4,-0.004411943172921245
D001,C5,-0.013338224072115323
D002,C2,0.0008106245551326431
D002,C3,0.0008903030158807966
D002,C4,-0.00038910760280541894
D002,C5,2.2170696510009884e-05
D003,C2,-0.03127521045497179
D003,C3,-0.02260022581918874
D003,C4,-0.0435402286186997
D003,C5,0.0020451777658699096
D011,C2,-0.010422419131663248
D011,C3,-0.005613085724565949
D011,C4,-0.032543115772155545
D011,C5,-0.014282105728955547
D013,C2,0.01565413977164292
D013,C3,0.006738794217523383
D013,C4,0.00381538152561693
D013,C5,-0.01378773730894842
D014,C2,0.016920820261162327
D014,C3,0.0018331269925705679
D014,C4,0.012466305786463691
D014,C5,0.021664926515428503
D019,C2,-0.013234985466764717
D019,C3,0.0031662769395400343
D019,C4,-0.011282717071092631
D019,C5,0.0031536940157979227
