"omitted_dataset","converged","max_abs_coefficient_shift"
"D001",TRUE,0.0039688246780446
"D002",TRUE,0.0180177421918543
"D003",TRUE,0.00659710226623395
"D005",TRUE,0.00391587416341222
"D006",TRUE,0.00264444126084157
"D009",TRUE,0.0151602475447584
"D010",TRUE,0.0166224446442435
"D011",TRUE,0.00592595897049578
"D013",TRUE,0.00345555888634186
"D014",TRUE,0.00527543021058373
"D015",TRUE,0.0143128851218281
"D016",TRUE,0.00461319554914631
"D019",TRUE,0.0128504987688744
"D020",TRUE,0.00219194059677198
