"term","estimate","standard_error","df","t_value","p_value","ci95_low","ci95_high"
"(Intercept)",0.0079724907232139,0.00655857566439146,369,1.21558264037404,0.224921081226956,-0.00488231757899336,0.0208272990254212
"conditionC3",-0.00505371759187441,0.00743949877737768,369,-0.679308881297481,0.497368047699372,-0.0196351351955347,0.00952770001178583
"conditionC4",-0.000800880368439216,0.00743949877737768,369,-0.107652463210904,0.914329887306162,-0.0153822979720995,0.013780537235221
"conditionC5",0.0172218310893034,0.00743949877737765,369,2.31491819605809,0.0211655266916399,0.00264041348564324,0.0318032486929636
"z_log_sample_size",-0.00762549527088852,0.00509850075382442,369,-1.49563482268166,0.135603580438351,-0.0176185567483844,0.00236756620660735
"z_log_feature_to_sample_ratio",-0.00216022638830054,0.00579744408477045,369,-0.372617028592882,0.709647424341663,-0.0135232167944506,0.00920276401784953
"z_minority_prevalence",-0.0046392989047263,0.00510770096413736,11,-0.9082949329454,0.383190766174731,-0.0146503927944355,0.00537179498498293
"z_missingness_rate",-0.000890229240888492,0.00527018246173192,11,-0.168918106223582,0.868927149276488,-0.011219786865883,0.00943932838410606
"modelgradient_boosted_trees",0.00307104867360426,0.00743949877737766,369,0.412803169340229,0.679990580190929,-0.011510368930056,0.0176524662772645
"modelrandom_forest",-0.00357556589271923,0.00743949877737767,369,-0.480619192195038,0.631071993395471,-0.0181569834963795,0.011005851710941
"conditionC3:z_log_sample_size",0.00554870225946328,0.00511199381927969,369,1.08542820191538,0.278440648376333,-0.0044708056263249,0.0155682101452515
"conditionC4:z_log_sample_size",-0.00203791614733975,0.00511199381927969,369,-0.398653875451459,0.690378841193165,-0.0120574240331279,0.00798159173844843
"conditionC5:z_log_sample_size",0.00586013269295486,0.00511199381927968,369,1.14634972187439,0.252393298546405,-0.00415937519283332,0.015879640578743
"conditionC3:z_log_feature_to_sample_ratio",0.00211316645164074,0.00505698799833537,369,0.417870568871498,0.676284806225875,-0.00779853002509659,0.0120248629283781
"conditionC4:z_log_feature_to_sample_ratio",0.00214764489409762,0.00505698799833538,369,0.424688548757593,0.671311248393607,-0.00776405158263972,0.012059341370835
"conditionC5:z_log_feature_to_sample_ratio",-0.00759496593009346,0.00505698799833538,369,-1.50187541133052,0.133984522554065,-0.0175066624068308,0.00231673054664388
"conditionC3:z_minority_prevalence",0.00510449182701985,0.00458402539082001,369,1.11353916957836,0.266201760707415,-0.00388019793898738,0.0140891815930271
"conditionC4:z_minority_prevalence",0.00150789227456341,0.00458402539082001,369,0.328945009245176,0.742383865387215,-0.00747679749144381,0.0104925820405706
"conditionC5:z_minority_prevalence",-0.0469738476478465,0.00458402539082002,369,-10.2472922034674,7.50710604041816e-22,-0.0559585374138537,-0.0379891578818392
"conditionC3:z_missingness_rate",0.00253829279111366,0.00484837564254543,369,0.523534680118358,0.600916487862694,-0.00696452346827539,0.0120411090505027
"conditionC4:z_missingness_rate",0.00338627467874821,0.00484837564254543,369,0.698434883847075,0.485345190889851,-0.00611654158064084,0.0128890909381373
"conditionC5:z_missingness_rate",0.00864277536070569,0.00484837564254543,369,1.78261256922085,0.0754714349581067,-0.00086004089868336,0.0181455916200947
"conditionC3:modelgradient_boosted_trees",-0.00590131698432437,0.0105210400682256,369,-0.560906236080866,0.575201891483033,-0.0265225555180465,0.0147199215493977
"conditionC4:modelgradient_boosted_trees",-0.00871638908090471,0.0105210400682256,369,-0.828472187576677,0.407938672185105,-0.0293376276146268,0.0119048494528174
"conditionC5:modelgradient_boosted_trees",0.0471264678819849,0.0105210400682256,369,4.47925942458017,1.00024174459411e-05,0.0265052293482628,0.067747706415707
"conditionC3:modelrandom_forest",-0.00192343408317568,0.0105210400682256,369,-0.182817865030723,0.855041332371289,-0.0225446726168978,0.0186978044505464
"conditionC4:modelrandom_forest",-0.00592368646318086,0.0105210400682256,369,-0.563032402192907,0.573754755447612,-0.026544924996903,0.0146975520705412
"conditionC5:modelrandom_forest",0.0426437070088324,0.0105210400682256,369,4.05318359518657,6.16456081052119e-05,0.0220224684751103,0.0632649455425545
