"condition","model","z_log_sample_size","z_log_feature_to_sample_ratio","z_minority_prevalence","z_missingness_rate","estimate","standard_error","ci95_low","ci95_high"
"C2","logistic_regression",0,0,0,0,0.0079724907232139,0.0063295269011532,-0.00443338200304637,0.0203783634494742
"C3","logistic_regression",0,0,0,0,0.00291877313133949,0.00632952690115321,-0.00948709959492081,0.0153246458575998
"C4","logistic_regression",0,0,0,0,0.00717161035477469,0.00632952690115321,-0.00523426237148561,0.019577483081035
"C5","logistic_regression",0,0,0,0,0.0251943218125173,0.00632952690115321,0.0127884490862571,0.0376001945387776
"C2","gradient_boosted_trees",0,0,0,0,0.0110435393968182,0.0063295269011532,-0.00136233332944211,0.0234494121230784
"C3","gradient_boosted_trees",0,0,0,0,8.85048206193785e-05,0.00632952690115321,-0.0123173679056409,0.0124943775468797
"C4","gradient_boosted_trees",0,0,0,0,0.00152626994747424,0.00632952690115321,-0.010879602778786,0.0139321426737345
"C5","gradient_boosted_trees",0,0,0,0,0.0753918383681065,0.00632952690115321,0.0629859656418462,0.0877977110943668
"C2","random_forest",0,0,0,0,0.00439692483049467,0.00632952690115321,-0.00800894789576563,0.016802797556755
"C3","random_forest",0,0,0,0,-0.00258022684455543,0.00632952690115321,-0.0149860995708157,0.00982564588170486
"C4","random_forest",0,0,0,0,-0.00232764200112541,0.00632952690115321,-0.0147335147273857,0.0100782307251349
"C5","random_forest",0,0,0,0,0.0642624629286305,0.00632952690115321,0.0518565902023702,0.0766683356548908
